municipality;region;oktmo;court_name;court_code;comment
Гиагинский муниципальный район;Адыгея;79605000;Гиагинский районный суд;01RS0001;
Городской округ - Город Адыгейск;Адыгея;79703000;Теучежский районный суд;01RS0007;
Городской округ - Город Майкоп;Адыгея;79701000;Майкопский городской суд;01RS0004;
Кошехабльский муниципальный район;Адыгея;79615000;Кошехабльский районный суд;01RS0002;
Красногвардейский муниципальный район;Адыгея;79618000;Красногвардейский районный суд;01RS0003;
Майкопский муниципальный район;Адыгея;79622000;Майкопский районный суд Республики Адыгея;01RS0005;
Тахтамукайский муниципальный район;Адыгея;79630000;Тахтамукайский районный суд;01RS0006;
Теучежский муниципальный район;Адыгея;79633000;Теучежский районный суд;01RS0007;
Шовгеновский муниципальный район;Адыгея;79640000;Шовгеновский районный суд;01RS0008;
Городской округ - г Горно-Алтайск;Алтай;84701000;Горно-Алтайский городской суд;02RS0001;
Кош-Агачский муниципальный район;Алтай;84610000;Кош-Агачский районный суд;02RS0002;
Майминский муниципальный район;Алтай;84615000;Майминский районный суд;02RS0003;
Онгудайский муниципальный район;Алтай;84620000;Онгудайский районный суд;02RS0004;
Турочакский муниципальный район;Алтай;84625000;Турочакский районный суд;02RS0005;
Улаганский муниципальный район;Алтай;84630000;Улаганский районный суд;02RS0006;
Усть-Канский муниципальный район;Алтай;84635000;Усть-Канский районный суд;02RS0007;
Усть-Коксинский муниципальный район;Алтай;84640000;Усть-Коксинский районный суд;02RS0008;
Чемальский муниципальный район;Алтай;84643000;Чемальский районный суд;02RS0009;
Чойский муниципальный район;Алтай;84645000;Чойский районный суд;02RS0010;
Шебалинский муниципальный район;Алтай;84650000;Шебалинский районный суд;02RS0011;
Алейский муниципальный район;Алтайский;01601000;Алейский городской суд Алтайского края;22RS0001;
Алтайский муниципальный район;Алтайский;01602000;Алтайский районный суд Алтайского края;22RS0002;
Баевский муниципальный район;Алтайский;01603000;Баевский районный суд Алтайского края;22RS0070;
Бийский муниципальный район;Алтайский;01604000;Бийский районный суд Алтайского края;22RS0003;
Благовещенский муниципальный район;Алтайский;01605000;Благовещенский районный суд Алтайского края;22RS0004;
Бурлинский муниципальный район;Алтайский;01606000;Бурлинский районный суд Алтайского края;22RS0005;
